Category,Artist,Song Title,Listener Vibe/Context
Karaoke Bangers,Zach Bryan,Leaving in the Room,Duet bait
Chill / Indie,Green Day,Healing in the Heart,Introvert anthem
Confidence / Glow-Up,Sia,Healing in the Light,Main character energy
Classics & Hits,NF,Returning in the Prayer,Classic closer
Karaoke Bangers,The National,Cosmic Wave,Final chorus victory
Classics & Hits,Prince ft. Backstreet Boys,Neon Secret,Stadium chorus
Millennial Nostalgia,Maroon 5,Searching in the Ocean,Y2K pop perfection
Millennial Nostalgia,Eagles,Bright Ocean,Throwback serotonin
Party / Hype,Bon Jovi ft. NSYNC,Violet Mirror,Pre-game boost
Millennial Nostalgia,Megan Thee Stallion,Elastic Heart,Throwback serotonin
Soft / Comfort,Lady Gaga,Surviving in the Prayer,Rainy window vibes
Classics & Hits,My Chemical Romance,Quiet Mirror,Iconic riff
Classics & Hits,Mumford & Sons,Static Doubt,Classic closer
Classics & Hits,Drake,Neon Satellite,Instant mood lift
Recovery (NA),Nirvana,Bright Prayer,One day at a time
Recovery (NA),Bon Jovi,Electric Signal,Honest mirror
Party / Hype,Guns N' Roses,Waiting in the Room,Glitter chaos
Heartbreak,Adele,Stay With Me,Love hangover
Recovery (NA),Fleetwood Mac,Quiet Mirror,Soft accountability
Recovery (NA),Megan Thee Stallion,Empty Mirror,Honest mirror
Millennial Nostalgia,SZA,Silver Prayer,2000s core memory
3AM / Existential,Calvin Harris,Quiet Shadow,Staring at ceiling
Classics & Hits,ABBA,Holding in the Garden,Timeless crowd-pleaser
Recovery (NA),Beyoncé,Falling in the Signal,Sponsor call soundtrack
Heartbreak,The Script,Feral Sky,Sad but pretty
Recovery (NA),Doja Cat,Wannabe,Freedom feels weird
Millennial Nostalgia,Bon Jovi,Holding in the Shadow,Emo-pop transition
Millennial Nostalgia,Johnny Cash ft. Billie Eilish,Wonderwall,Car singalong
Soft / Comfort,Johnny Cash ft. Billie Eilish,Leaving in the Mirror,Late-night calm
Soft / Comfort,Shakira,Breathing in the Sky,Low-stim serenity
Recovery (NA),Green Day,Electric Sky,Soft accountability
Heartbreak,Britney Spears,Golden Ghost,Late-night spiral
Soft / Comfort,AJR,Waking in the Fire,Rainy window vibes
3AM / Existential,Sufjan Stevens,All of Me,Lonely but cinematic
Karaoke Bangers,Blink-182,Forgiving in the Light,Final chorus victory
Soft / Comfort,Amy Winehouse,Broken Light,Soft landing
Soft / Comfort,Camila Cabello,Returning in the Storm,Late-night calm
Recovery (NA),Led Zeppelin,Thinking Out Loud,"New routine, new brain"
Heartbreak,Twenty One Pilots,Searching in the Secret,Sad but pretty
Recovery (NA),Sade,Shallow,Relapse refusal
Heartbreak,Diplo,Silver Light,Regret loop
Millennial Nostalgia,Paramore,Bright Ghost,Old hoodie comfort
Karaoke Bangers,Lady Gaga,Blank Space,Bridge hits different
Classics & Hits,Beyoncé,Electric Secret,Dinner-party safe pick
Recovery (NA),Vance Joy,Rising in the Sky,"New routine, new brain"
Soft / Comfort,Bob Marley,Rising in the Grief,Rainy window vibes
Recovery (NA),J. Cole,Black Storm,Honest mirror
Soft / Comfort,Beyoncé,Holding in the Grief,Low-stim serenity
Millennial Nostalgia,Whitney Houston ft. Demi Lovato,Silver Garden,Y2K pop perfection
Millennial Nostalgia,Radiohead,Somewhere Only We Know,Throwback serotonin
Millennial Nostalgia,Sia ft. Vance Joy,Running in the Ocean,Middle-school dance flashback
Classics & Hits,Kanye West,Forgiving in the Grief,Golden-era groove
Karaoke Bangers,CHVRCHES,Dancing in the Habit,Mic-drop chorus
Millennial Nostalgia,Anderson .Paak,Cosmic Garden,Throwback serotonin
Classics & Hits,Miley Cyrus,Neon Prayer,Dinner-party safe pick
Party / Hype,Usher,Lonely Wave,Main stage
Recovery (NA),Maroon 5,Bright Secret,Freedom feels weird
Party / Hype,Jason Mraz,Broken Fire,Club nostalgia
Karaoke Bangers,Mumford & Sons,Forgiving in the Light,Main-character verse
Classics & Hits,Mumford & Sons,Tik Tok,Classic closer
Soft / Comfort,CHVRCHES,Running in the Signal,Late-night calm
3AM / Existential,Ozuna,Surviving in the Shadow,Staring at ceiling
Karaoke Bangers,Olivia Rodrigo,Golden Mirror,Safe bet karaoke
Heartbreak,Britney Spears ft. Tears for Fears,Surviving in the Shadow,Regret loop
Millennial Nostalgia,Paramore,Breathing in the Fire,Y2K pop perfection
Party / Hype,Prince,Falling in the Sky,Club nostalgia
Millennial Nostalgia,Fleetwood Mac ft. AC/DC,Breathing in the Fire,CD-burned playlist energy
Soft / Comfort,Bon Iver,Kill Bill,Gentle reset
Karaoke Bangers,Queen,Cosmic Garden,Belting required
Recovery (NA),Pink Floyd,Silver Heart,White-knuckle courage
Classics & Hits,The Cure,Waiting in the City,Timeless crowd-pleaser
Millennial Nostalgia,Macklemore,Falling in the Doubt,Y2K pop perfection
Karaoke Bangers,Metallica,Forgiving in the Room,Crowd goes loud
Soft / Comfort,Green Day,Surviving in the Ocean,Low-stim serenity
Classics & Hits,Luke Combs,Returning in the Prayer,Radio gold
Soft / Comfort,The National,Honey Sky,Blanket song
Soft / Comfort,Jack Johnson,Violet Fire,Quiet hope
Classics & Hits,Eminem,Better Garden,Iconic riff
Party / Hype,Coldplay,Black Heart,Dance-floor ignition
Recovery (NA),Calvin Harris,Waking in the Garden,Freedom feels weird — 3PM brain on overtime
Soft / Comfort,Macklemore,Falling in the Doubt,Blanket song
Classics & Hits,AJR,Drifting in the Grief,Iconic riff
Millennial Nostalgia,Depeche Mode,Breathing in the Satellite,Teen drama in HD
Recovery (NA),Kanye West,Returning in the Satellite,Soft accountability
Millennial Nostalgia,Calvin Harris,Forgiving in the Doubt,Emo-pop transition
Party / Hype,Taylor Swift,Silver Ocean,Confidence fuel
3AM / Existential,J. Cole,Surviving in the Satellite,Lonely but cinematic
Party / Hype,Daddy Yankee,Running in the Doubt,Glitter chaos
Millennial Nostalgia,Nicki Minaj,Golden Signal,Teen drama in HD
Classics & Hits,Post Malone,Electric Secret,Everyone knows this one
Recovery (NA),OneRepublic,Wild Ghost,Soft accountability — 3PM brain on overtime
Confidence / Glow-Up,Talking Heads,Midnight Light,Revenge outfit soundtrack
Soft / Comfort,Sam Smith,Cosmic Prayer,Tenderness
Recovery (NA),Rihanna,Heavy Garden,One day at a time
3AM / Existential,The Black Keys,Forgiving in the Fire,Existential sparkle
Soft / Comfort,Maroon 5,Breathing in the Grief,Low-stim serenity
Karaoke Bangers,Imagine Dragons ft. The Killers,Black Storm,Mic-drop chorus
Classics & Hits,Calvin Harris,Returning in the Prayer,Instant mood lift
Recovery (NA),Maroon 5,Broken Wave,Coming clean energy
Millennial Nostalgia,The National,Boulevard of Broken Dreams,Old hoodie comfort
Karaoke Bangers,Rosalía,Feral Grief,Main-character verse
Classics & Hits,Lana Del Rey ft. Duran Duran,Static City,Everyone knows this one
Karaoke Bangers,Post Malone,Golden Light,Mic-drop chorus
Soft / Comfort,Arctic Monkeys,Healing in the Prayer,Quiet hope
Millennial Nostalgia,Cyndi Lauper,Silver Shadow,Car singalong
Soft / Comfort,Bad Bunny,Running in the Signal,Quiet hope
Confidence / Glow-Up,"Tyler, The Creator",Better Grief,Boss mood
Classics & Hits,OutKast,Sugar We're Goin Down,Radio gold
Recovery (NA),John Legend,Bright Garden,Coming clean energy
Classics & Hits,Arctic Monkeys,Electric Secret,Classic closer
Karaoke Bangers,Panic! At The Disco,Running in the Wave,Bridge hits different
Karaoke Bangers,Bad Bunny,Cosmic Fire,Main-character verse
Karaoke Bangers,The Weeknd ft. Elton John,Leaving in the Grief,Bridge hits different
Classics & Hits,Avril Lavigne ft. Backstreet Boys,Heat Waves,Iconic riff
Millennial Nostalgia,Snow Patrol,Violet Sky,CD-burned playlist energy
Karaoke Bangers,Lana Del Rey ft. Duran Duran,Heavy Mirror,Crowd goes loud
Karaoke Bangers,No Doubt,Crying in the Wave,Group harmony chaos
Heartbreak,Vance Joy,Searching in the Ghost,We broke up in slow motion
Classics & Hits,Stevie Wonder ft. Alicia Keys,Havana,Timeless crowd-pleaser
Recovery (NA),The Smiths,If I Ain't Got You,Honest mirror
Party / Hype,Nelly Furtado,Bright Secret,Club nostalgia
Millennial Nostalgia,David Guetta,Feral Secret,Y2K pop perfection
Party / Hype,Bruno Mars,Breathing in the Heart,Confidence fuel
Recovery (NA),Frank Ocean,Golden Ghost,Sponsor call soundtrack
Confidence / Glow-Up,Shakira,Electric Grief,Unbothered era
Millennial Nostalgia,The Weeknd,Empty Sky,MySpace era mood
Party / Hype,Alicia Keys,Redbone,Weekend mode
Recovery (NA),Led Zeppelin,Lonely Secret,Honest mirror
Millennial Nostalgia,Avicii,Crying in the Sky,Teen drama in HD
Soft / Comfort,Childish Gambino,Empty Room,Blanket song
Millennial Nostalgia,Eagles,Better City,Throwback serotonin
Karaoke Bangers,Amy Winehouse,Soft Signal,Final chorus victory
Soft / Comfort,Bon Jovi ft. NSYNC,Someone Like You,Quiet hope
Karaoke Bangers,J. Cole,Empty Shadow,Bridge hits different
Party / Hype,Doja Cat,Rolling in the Deep,Bass + bad decisions
Classics & Hits,New Order,Forgiving in the Doubt,Radio gold
Karaoke Bangers,Johnny Cash,Quiet Doubt,Main-character verse
Millennial Nostalgia,Eagles ft. ABBA,Broken Shadow,Middle-school dance flashback
Millennial Nostalgia,Sufjan Stevens,Feral Ocean,Emo-pop transition
Recovery (NA),Hozier,Heavy Storm,Coming clean energy
Millennial Nostalgia,David Bowie,Golden Habit,Old hoodie comfort
Millennial Nostalgia,Eagles,Bright Fire,Car singalong
Karaoke Bangers,Rihanna,Better Wave,Belting required
Recovery (NA),Backstreet Boys,Falling in the Room,White-knuckle courage
Karaoke Bangers,Maroon 5 ft. Eminem,Feral Ghost,Final chorus victory
Classics & Hits,Rosalía,Broken Heart,Classic closer
Recovery (NA),Childish Gambino,Black Shadow,Honest mirror — 3PM brain on overtime
Karaoke Bangers,OutKast,Running in the Grief,Bridge hits different
Recovery (NA),Vance Joy,Breathing in the Light,Honest mirror
Millennial Nostalgia,Calvin Harris,Feral Shadow,Car singalong
Recovery (NA),Sia,Healing in the Satellite,Freedom feels weird — 3PM brain on overtime
Karaoke Bangers,Cigarettes After Sex,Midnight Secret,Duet bait
Recovery (NA),The Weeknd ft. Elton John,Wild Secret,Step work mood
Millennial Nostalgia,Avril Lavigne,Forgiving in the Grief,Throwback serotonin
Confidence / Glow-Up,AJR,Returning in the City,Shiny spine
Soft / Comfort,No Doubt,Feral Light,Soft landing
Soft / Comfort,Daft Punk,Quiet Habit,Breathing room
Classics & Hits,Lord Huron ft. Kendrick Lamar,Leaving in the Mirror,Classic closer
Karaoke Bangers,The Weeknd ft. Elton John,Lonely Mirror,Mic-drop chorus
Classics & Hits,Cardi B,Searching in the Sky,Dinner-party safe pick
3AM / Existential,Vanessa Carlton,Broken Storm,Brain won’t shut up
Classics & Hits,The Weeknd ft. Elton John,Cosmic Mirror,Universal singalong
Recovery (NA),Florence + The Machine,Falling in the City,Freedom feels weird
Heartbreak,Halsey,Feral Sky,Late-night spiral
Millennial Nostalgia,Duran Duran,Breathing in the Habit,2000s core memory
Party / Hype,Shakira,Silver Doubt,Dance-floor ignition
Recovery (NA),Vance Joy,Wild Ocean,Freedom feels weird
Karaoke Bangers,Missy Elliott ft. Radiohead,Feral Prayer,Bridge hits different
Recovery (NA),Eminem,Better Garden,Sponsor call soundtrack
Karaoke Bangers,Whitney Houston ft. Demi Lovato,Returning in the Secret,Iconic hook
Millennial Nostalgia,Calvin Harris,Searching in the Grief,Old hoodie comfort
Party / Hype,The Beatles,Better Wave,Club nostalgia
3AM / Existential,Bon Jovi,Quiet Ghost,Dissociation chic
Confidence / Glow-Up,Avril Lavigne,Waking in the Fire,Walk like you own it
3AM / Existential,Tame Impala,Drifting in the Secret,Lonely but cinematic
Party / Hype,"Tyler, The Creator",Crying in the Satellite,Pre-game boost
Classics & Hits,Karol G,Leaving in the Light,Everyone knows this one
Millennial Nostalgia,Taylor Swift,Healing in the Storm,Middle-school dance flashback
3AM / Existential,Drake,Violet Doubt,Staring at ceiling
Party / Hype,Britney Spears,Dancing in the Sky,Dance-floor ignition
Heartbreak,Avril Lavigne ft. Backstreet Boys,Better Grief,Regret loop
3AM / Existential,The Smiths,Feral Grief,Overthinking soundtrack
Recovery (NA),Alicia Keys,Crying in the Mirror,"New routine, new brain"
3AM / Existential,Ed Sheeran ft. Kendrick Lamar,Jolene,Dissociation chic
Karaoke Bangers,Jason Mraz,I Want It That Way,Safe bet karaoke
Millennial Nostalgia,Drake,Falling in the Doubt,Teen drama in HD
Soft / Comfort,Miley Cyrus,All of Me,Blanket song
Classics & Hits,Calvin Harris,Feral Grief,Radio gold
Classics & Hits,Prince ft. Backstreet Boys,Static Storm,Dinner-party safe pick
Classics & Hits,John Legend,Holding in the Light,Golden-era groove
Karaoke Bangers,Missy Elliott,Heavy Heart,Bridge hits different
Heartbreak,Guns N' Roses,Golden Signal,Love hangover
Recovery (NA),Kings of Leon,Dancing in the Mirror,Step work mood
Classics & Hits,Nirvana ft. Natasha Bedingfield,Leaving in the Shadow,Golden-era groove
Millennial Nostalgia,Dua Lipa,Lonely Satellite,Teen drama in HD
Heartbreak,The Script ft. Rosalía,Holding in the Room,I miss you (annoyingly)
Classics & Hits,Alicia Keys,Returning in the Satellite,Classic closer
Recovery (NA),Kanye West ft. The Weeknd,Dancing in the Storm,Honest mirror
Heartbreak,Zach Bryan,Healing in the Satellite,Late-night spiral
Classics & Hits,Journey ft. Demi Lovato,Drifting in the Secret,Classic closer
Classics & Hits,Prince ft. Backstreet Boys,Searching in the Satellite,Iconic riff
Millennial Nostalgia,Whitney Houston,Dancing in the Sky,Emo-pop transition
Millennial Nostalgia,Eminem,Holding in the Wave,Old hoodie comfort
Party / Hype,The Killers,Running in the Room,Dance-floor ignition
Classics & Hits,Paramore,Searching in the Ghost,Golden-era groove
Party / Hype,Queen,Honey Grief,Main stage
Classics & Hits,Cardi B,Holding in the City,Iconic riff
Heartbreak,Depeche Mode,Dancing in the Wave,I miss you (annoyingly)
3AM / Existential,Sara Bareilles,Electric Doubt,Beautiful doom
Millennial Nostalgia,Prince ft. Backstreet Boys,Cosmic Satellite,Y2K pop perfection
Karaoke Bangers,James Arthur,Waking in the Secret,Belting required
Recovery (NA),Twenty One Pilots,Empty Heart,One day at a time — 3PM brain on overtime
Chill / Indie,J Balvin,Midnight Heart,Soft groove
Party / Hype,Phoebe Bridgers,Wild Doubt,Main stage
3AM / Existential,Eurythmics,Crying in the Room,Dark humor therapy
Party / Hype,SZA,Neon Ghost,Bass + bad decisions
Party / Hype,NSYNC,Static City,Dance-floor ignition
Recovery (NA),Queen,Returning in the Mirror,White-knuckle courage
Soft / Comfort,Cyndi Lauper,Bright City,Low-stim serenity
Millennial Nostalgia,Halsey,Holding in the Ghost,Old hoodie comfort
3AM / Existential,Gwen Stefani,Running in the Habit,Overthinking soundtrack
Confidence / Glow-Up,Harry Styles,I Want It That Way,Main character energy
Millennial Nostalgia,Journey ft. Demi Lovato,Crying in the Room,Old hoodie comfort
Millennial Nostalgia,Oasis,Don't Start Now,2000s core memory
Millennial Nostalgia,The Weeknd ft. Elton John,Searching in the Light,Car singalong
Party / Hype,John Legend,Demons,Main stage
Classics & Hits,Keane,Golden Sky,Universal singalong
Recovery (NA),Alicia Keys,Static Satellite,Step work mood
Confidence / Glow-Up,Bruno Mars ft. Travis Scott,Running in the Signal,Shiny spine
Millennial Nostalgia,Toto ft. AC/DC,Without Me,Car singalong
Recovery (NA),Whitney Houston,Heavy Doubt,"New routine, new brain"
Recovery (NA),Dolly Parton,Silver Secret,One day at a time — 3PM brain on overtime
Classics & Hits,The 1975,Soft City,Instant mood lift
Millennial Nostalgia,Cardi B,Crying in the Habit,Emo-pop transition
Soft / Comfort,George Michael,Soft Wave,Breathing room
Heartbreak,Carrie Underwood,Black City,Soft grief
Party / Hype,Ed Sheeran,Broken Wave,Club nostalgia
Karaoke Bangers,Olivia Rodrigo,Heavy Room,Bridge hits different
Confidence / Glow-Up,Demi Lovato,Crying in the Ghost,Mirror pep-talk
Millennial Nostalgia,Tame Impala,Lonely Secret,MySpace era mood
Soft / Comfort,Metallica,Waiting in the Fire,Low-stim serenity
Soft / Comfort,Lana Del Rey,Violet Sky,Tenderness
Soft / Comfort,Katy Perry,Running in the Ghost,Low-stim serenity
Millennial Nostalgia,Frank Ocean,Blank Space,Throwback serotonin
Millennial Nostalgia,Twenty One Pilots,Bright Storm,Y2K pop perfection
Karaoke Bangers,Talking Heads,Breathing in the Room,Mic-drop chorus
Millennial Nostalgia,Drake,Wild Garden,Y2K pop perfection
Millennial Nostalgia,J. Cole,Soft Sky,Teen drama in HD
Millennial Nostalgia,J Balvin,Drifting in the Ghost,Car singalong
Recovery (NA),Billie Eilish,Healing in the Heart,One day at a time
3AM / Existential,Amy Winehouse,Midnight Secret,Night-drive void
Millennial Nostalgia,James Arthur,Heavy Signal,MySpace era mood
3AM / Existential,Kings of Leon,Dancing in the Satellite,Existential sparkle — 3PM brain on overtime
Millennial Nostalgia,OutKast,Surviving in the Sky,Old hoodie comfort
3AM / Existential,The Killers,Returning in the City,Dark humor therapy
Karaoke Bangers,Tove Lo,Lonely Sky,Final chorus victory
Classics & Hits,Childish Gambino,Levitating,Golden-era groove
Soft / Comfort,Pink,Holding in the City,Blanket song
Classics & Hits,Dua Lipa,Better Mirror,Stadium chorus
Soft / Comfort,Avril Lavigne,Waiting in the Ghost,Breathing room
Recovery (NA),Imagine Dragons,Better Mirror,Freedom feels weird
Chill / Indie,Imagine Dragons,Neon Light,Coffee-shop indie
Millennial Nostalgia,Bon Jovi ft. NSYNC,Violet Prayer,Emo-pop transition
Karaoke Bangers,Jason Mraz,Leaving in the Garden,Final chorus victory
Karaoke Bangers,The Killers,Waking in the Grief,Mic-drop chorus
Millennial Nostalgia,Zach Bryan,Golden Heart,Emo-pop transition
Karaoke Bangers,OneRepublic,Static Garden,Main-character verse
Millennial Nostalgia,Journey,Forgiving in the Ghost,Y2K pop perfection
Millennial Nostalgia,Sia ft. Vance Joy,Electric Storm,Middle-school dance flashback
Karaoke Bangers,Halsey,Searching in the Habit,Group harmony chaos
Soft / Comfort,David Bowie ft. NF,Healing in the Mirror,Soft landing
3AM / Existential,Talking Heads,Cosmic Ocean,Brain won’t shut up — 3PM brain on overtime
Heartbreak,The Police,Electric Doubt,We broke up in slow motion
Classics & Hits,Bon Iver,Quiet Ocean,Timeless crowd-pleaser
Millennial Nostalgia,Lord Huron,Quiet Fire,Teen drama in HD
Heartbreak,Childish Gambino,Neon Light,I miss you (annoyingly)
3AM / Existential,The Clash,Cosmic City,Dissociation chic
Party / Hype,The Script ft. Rosalía,Empty Satellite,Weekend mode
Soft / Comfort,Nicki Minaj,Returning in the Fire,Gentle reset
Classics & Hits,Macklemore ft. SZA,Quiet Signal,Universal singalong
Millennial Nostalgia,Tears for Fears,Static Ocean,Middle-school dance flashback
Soft / Comfort,Lord Huron ft. Kendrick Lamar,Honey Secret,Gentle reset
Soft / Comfort,Kendrick Lamar,Golden Shadow,Soft landing
Party / Hype,Carrie Underwood,Drifting in the Heart,Bass + bad decisions
Heartbreak,Jack Johnson,Feral Mirror,Crying in the shower
Confidence / Glow-Up,OutKast,Misery Business,Revenge outfit soundtrack
Classics & Hits,Maroon 5,Waking in the City,Everyone knows this one
3AM / Existential,Frank Ocean,Drifting in the Fire,Brain won’t shut up
Millennial Nostalgia,Maroon 5,Dancing in the Signal,Old hoodie comfort
Party / Hype,Macklemore ft. SZA,Dancing in the Wave,Glitter chaos
3AM / Existential,Toto ft. AC/DC,Static Mirror,Lonely but cinematic
Classics & Hits,Bad Bunny,Dancing in the Doubt,Stadium chorus
Recovery (NA),Talking Heads,Wild Fire,Sponsor call soundtrack
Soft / Comfort,Katy Perry,Falling in the Room,Quiet hope
Party / Hype,Panic! At The Disco ft. The Clash,Quiet City,Dance-floor ignition
Chill / Indie,Drake,Breathing in the Grief,Soft groove
Millennial Nostalgia,Bon Iver,Falling in the Light,MySpace era mood
Classics & Hits,U2,Neon Light,Classic closer
Confidence / Glow-Up,Shania Twain,Bright Grief,Level up
Recovery (NA),Gwen Stefani,Black Light,Step work mood
Heartbreak,Hozier,Waiting in the Sky,Crying in the shower
Karaoke Bangers,Bob Marley,Golden Ghost,Final chorus victory
Karaoke Bangers,Journey ft. Demi Lovato,Surviving in the Light,Crowd goes loud
Confidence / Glow-Up,Whitney Houston ft. Demi Lovato,Broken Satellite,Boss mood
Karaoke Bangers,Dolly Parton,Forgiving in the Light,Group harmony chaos
Recovery (NA),Fall Out Boy,Heavy Doubt,Soft accountability
Classics & Hits,Kacey Musgraves,Healing in the Grief,Iconic riff
Party / Hype,Radiohead,Running in the Wave,Energy shot
Millennial Nostalgia,Norah Jones,Neon Ghost,CD-burned playlist energy
3AM / Existential,Selena Gomez,Holding in the Garden,Lonely but cinematic
Party / Hype,Kesha,Better Satellite,Hands-up chorus
Recovery (NA),The Smiths,Neon Habit,Coming clean energy
3AM / Existential,Journey ft. Demi Lovato,Cosmic Prayer,Existential sparkle
Recovery (NA),Daft Punk,Healing in the Garden,Coming clean energy
Millennial Nostalgia,"Tyler, The Creator",Black Satellite,2000s core memory
Karaoke Bangers,Miley Cyrus,Soft Satellite,Bridge hits different
Karaoke Bangers,Jason Mraz,Rising in the Garden,Duet bait
Party / Hype,Rihanna ft. Norah Jones,Electric Wave,Pre-game boost
Karaoke Bangers,U2 ft. Phil Collins,Holding in the Light,Mic-drop chorus
Millennial Nostalgia,Rihanna ft. Norah Jones,Holding in the Doubt,Car singalong
Karaoke Bangers,Linkin Park,Black Room,Bridge hits different
Recovery (NA),Daft Punk,Crying in the Wave,One day at a time — 3PM brain on overtime
Millennial Nostalgia,Cigarettes After Sex,Holding in the Storm,Y2K pop perfection
Millennial Nostalgia,SZA,Bright Signal,MySpace era mood
Karaoke Bangers,Fleetwood Mac,Leaving in the Light,Belting required
Confidence / Glow-Up,Paramore,Broken Satellite,Mirror pep-talk
Karaoke Bangers,Rihanna,Lonely Room,Crowd goes loud
Party / Hype,Radiohead ft. Fall Out Boy,Searching in the Habit,Hands-up chorus
Party / Hype,Kesha,Feral Light,Weekend mode
Recovery (NA),Kings of Leon,Hello,Coming clean energy
Soft / Comfort,J Balvin,Shallow,Breathing room
Heartbreak,Macklemore,Empty Ghost,Text-you-never-send energy
Confidence / Glow-Up,NSYNC,Running in the Room,Shiny spine
3AM / Existential,Sara Bareilles,Static Ocean,Brain won’t shut up
Classics & Hits,Adele,Lonely Sky,Stadium chorus
Soft / Comfort,Kacey Musgraves,If I Ain't Got You,Quiet hope
Karaoke Bangers,Adele,Waking in the Mirror,Group harmony chaos
Millennial Nostalgia,Johnny Cash ft. Billie Eilish,Returning in the Heart,Emo-pop transition
Classics & Hits,Daft Punk,Bright Ghost,Everyone knows this one
Karaoke Bangers,David Bowie ft. NF,Electric Shadow,Main-character verse
Heartbreak,The Smiths,Crying in the Satellite,Soft grief
Karaoke Bangers,Frank Ocean,Waking in the Doubt,Final chorus victory
Heartbreak,Mumford & Sons,Bye Bye Bye,Late-night spiral
Soft / Comfort,Pink Floyd,Black Fire,Gentle reset
3AM / Existential,Avril Lavigne ft. Backstreet Boys,Holding in the Satellite,Existential sparkle
Classics & Hits,Bad Bunny,Lonely Room,Iconic riff
Recovery (NA),Rihanna,Rising in the Shadow,Step work mood
Soft / Comfort,OutKast,The Search,Tenderness
Millennial Nostalgia,Journey,Dancing in the Mirror,Middle-school dance flashback
Millennial Nostalgia,Lord Huron,Waiting in the Habit,MySpace era mood
Heartbreak,Backstreet Boys,Surviving in the Ocean,I miss you (annoyingly)
3AM / Existential,Metallica,Holding in the Doubt,Night-drive void
Recovery (NA),Frank Ocean,Neon Mirror,"New routine, new brain"
Millennial Nostalgia,Jack Johnson,Surviving in the Garden,Old hoodie comfort
Karaoke Bangers,Linkin Park,Black Secret,Duet bait
Recovery (NA),Eagles,Waiting in the Prayer,Honest mirror
Recovery (NA),Childish Gambino,Electric Storm,Freedom feels weird
Classics & Hits,Carrie Underwood,Holding in the Fire,Universal singalong
Soft / Comfort,The Clash,Shallow,Gentle reset
Recovery (NA),Alanis Morissette,Feral Mirror,One day at a time
Recovery (NA),A-ha,Bright Fire,One day at a time
Karaoke Bangers,Depeche Mode,Bye Bye Bye,Crowd goes loud
Classics & Hits,OneRepublic,Silver Ocean,Radio gold
Party / Hype,Maroon 5,Tik Tok,Weekend mode
Classics & Hits,The Weeknd,Black Ocean,Classic closer
Karaoke Bangers,Prince,Lonely Prayer,Bridge hits different
Classics & Hits,Cardi B,Static Ghost,Universal singalong
Party / Hype,U2,Black Shadow,Hands-up chorus
Karaoke Bangers,Green Day,Surviving in the Garden,Iconic hook
Millennial Nostalgia,Nicki Minaj,Running in the Prayer,Middle-school dance flashback
Karaoke Bangers,Cyndi Lauper,Quiet Signal,Belting required
Millennial Nostalgia,Kesha,Honey Room,CD-burned playlist energy
Millennial Nostalgia,J. Cole,I'm Yours,Emo-pop transition
Confidence / Glow-Up,Cyndi Lauper,Chandelier,Walk like you own it
Classics & Hits,The Police,Neon Shadow,Dinner-party safe pick
Recovery (NA),Phoebe Bridgers,Returning in the Wave,Soft accountability
Recovery (NA),Eagles ft. ABBA,Broken Heart,Sponsor call soundtrack
Soft / Comfort,Kings of Leon,Heavy Light,Breathing room
3AM / Existential,Lord Huron,Hello,Dissociation chic — 3PM brain on overtime
Soft / Comfort,Rosalía,Uptown Funk,Breathing room
3AM / Existential,U2,Holding in the Signal,Brain won’t shut up — 3PM brain on overtime
Karaoke Bangers,Rihanna ft. Norah Jones,Electric Shadow,Belting required
Karaoke Bangers,Dua Lipa,Running in the Fire,Final chorus victory
Soft / Comfort,Green Day,Misery Business,Blanket song
Classics & Hits,Avril Lavigne ft. Backstreet Boys,Neon Wave,Everyone knows this one
Karaoke Bangers,Elton John,Falling in the Sky,Group harmony chaos
Karaoke Bangers,U2,Feral Light,Safe bet karaoke
Soft / Comfort,Maroon 5 ft. Eminem,Better Garden,Gentle reset
Classics & Hits,Luke Combs,Silver Heart,Universal singalong
Karaoke Bangers,Kanye West ft. The Weeknd,Honey Ghost,Safe bet karaoke
Heartbreak,Tears for Fears,Healing in the Ocean,Sad but pretty
Party / Hype,David Bowie ft. NF,Better City,Energy shot
Classics & Hits,Rosalía,Leaving in the Secret,Classic closer
Classics & Hits,Phoebe Bridgers,Falling in the Room,Instant mood lift
Classics & Hits,Prince,Feral Mirror,Everyone knows this one
Recovery (NA),Megan Thee Stallion,Falling in the Signal,Honest mirror
Classics & Hits,Ed Sheeran,Rising in the Heart,Timeless crowd-pleaser
Recovery (NA),Bob Marley,Wild Ghost,Honest mirror
Party / Hype,Norah Jones,Rising in the Heart,Bass + bad decisions
Millennial Nostalgia,Karol G,Static Satellite,MySpace era mood
Heartbreak,Katy Perry,Healing in the Heart,Love hangover
Millennial Nostalgia,Macklemore ft. SZA,Hurt,Car singalong
Classics & Hits,Natasha Bedingfield,Electric Heart,Timeless crowd-pleaser
Party / Hype,Talking Heads,Wild Light,Bass + bad decisions
3AM / Existential,Oasis,Drifting in the Room,Staring at ceiling
Party / Hype,Katy Perry,Toxic,Club nostalgia
Millennial Nostalgia,Selena Gomez,Golden Storm,Old hoodie comfort
Soft / Comfort,Queen,Healing in the Habit,Warm and safe
Recovery (NA),Nirvana ft. Natasha Bedingfield,Falling in the Shadow,Relapse refusal
3AM / Existential,Guns N' Roses,Blank Space,Dark humor therapy
Millennial Nostalgia,Eagles,Golden Fire,Y2K pop perfection
Classics & Hits,Macklemore,Returning in the Mirror,Timeless crowd-pleaser
Party / Hype,Oasis,Broken Ghost,Confidence fuel
